"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
16938,"R","System-specific","R-core","UNCONFIRMED","---","Segmentation fault (core dumped) in ubuntu 14.04","2016-06-06 11:10:26"
16793,"R","System-specific","R-core","UNCONFIRMED","---","Make a way to get amount of available memory on Linux","2016-04-02 19:06:56"
16034,"R","Wishlist","R-core","NEW","---","wish: use iterative unserialization for pairlists","2015-04-21 06:11:35"
16862,"R","Low-level","R-core","UNCONFIRMED","---","Apparent intermittent memory corruption","2016-05-05 15:53:56"
16497,"R","Graphics","martyn.plummer","ASSIGNED","---","X11() hangs after updating to xorg-x11-server-Xort-1.15.0-36.elg.x86_64","2015-11-05 12:38:02"
15045,"R","Wishlist","R-core","ASSIGNED","---","Add support for R CMD check --level and env var _R_CHECK_LEVEL_","2012-09-08 14:07:08"
16651,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","chooseCRANmirror() causes cryptnet.dll error","2016-01-04 17:46:19"
16706,"R","Mac GUI / Mac specific","simon.urbanek","UNCONFIRMED","---","Interfacing with Finder on OS X 10.11 causes crashes","2016-05-18 17:22:43"
15531,"R","Low-level","R-core","NEW","---","sys.parent() provides incorrect result when multiple call frames use the same environment","2013-11-07 18:51:21"
15940,"R","Startup","R-core","UNCONFIRMED","---","Rprofile file not read under MAC OS 10.9.4","2014-08-21 17:27:22"
15782,"R","Windows GUI / Window specific","marco.maier","NEW","---","(semi-)transparent ""grid"" elements disappear in the graphics device upon resizing","2015-05-11 05:40:53"
16389,"R","Add-ons","R-core","UNCONFIRMED","---","incorrect declaration of F77_NAME(dppsvx): 'fact' should be const char*, not const int*.","2015-05-15 23:53:58"
15892,"R","Add-ons","R-core","NEW","---","nlme:anova unable to find formula object defined inside function","2014-09-07 23:12:41"
15942,"R","Low-level","R-core","NEW","---","R CMD check --as-cran fails from read-only file system or directory tree","2014-08-20 10:13:15"
16364,"R","Installation","R-core","NEW","---","Bug in R_PCRE autoconf macro can lead to linker errors when using system libz, libbz2","2015-05-06 06:02:01"
14730,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","tcltk window freezes when interrupting calculations/locator function","2013-08-05 10:06:14"
14685,"R","Mac GUI / Mac specific","simon.urbanek","ASSIGNED","---","eigen() may crash or hang on OS X Lion in binary distribution of R, 64-bit only","2012-04-17 06:30:25"
16102,"R","Mac GUI / Mac specific","simon.urbanek","NEW","---","Hangs on Open Dialogue","2016-05-10 23:01:10"
15018,"R","Mac GUI / Mac specific","simon.urbanek","UNCONFIRMED","---","Resizing Terminal or Application Windows Results in Long Delays While Text is Reformatted","2015-05-26 07:27:46"
15639,"R","Mac GUI / Mac specific","simon.urbanek","UNCONFIRMED","---","list.files(...,recursive=TRUE) fails on Mac GUI","2014-01-15 03:24:05"
4073,"R","S4methods","jitterbug-import","NEW","---","Problem with S4 slots in C code","2003-09-05 19:29:01"
7989,"R","System-specific","jitterbug-import","NEW","---","Re: [Rd] eigen of a real pd symmetric matrix gives NaNs in $vector(PR#7987)","2005-07-04 15:50:47"
16184,"R","Accuracy","R-core","NEW","---","potential numerical issues with large margins in chisq.test(..., simulate.p.value = TRUE)","2015-02-03 14:39:06"
4254,"R","Wishlist","jitterbug-import","NEW","---","documentation search: problem with links","2003-09-23 00:19:41"
8041,"R","System-specific","jitterbug-import","NEW","---","eigen gives NaN in $vectors","2005-07-31 07:15:49"
16223,"R","Misc","R-core","NEW","---","'R CMD check' fails to report ... being in \arguments but not in \usage","2015-02-26 01:30:06"
4295,"R","System-specific","jitterbug-import","NEW","---","Bugs compiling R-1.7.1 with Intel compilers icc and ifc","2003-09-27 04:20:01"
8099,"R","Analyses","jitterbug-import","NEW","---","bug in L-BFGS-B?","2005-08-27 19:10:04"
837,"R","Graphics","jitterbug-import","NEW","---","screen doesn't handle redrawing properly","2001-02-02 01:20:52"
4459,"R","System-specific","jitterbug-import","NEW","---","Redhat 7.2 gcc optimisation ","2003-10-08 07:28:11"
8112,"R","S4methods","jitterbug-import","NEW","---","Bug in copying of S4 objects","2005-09-02 08:33:26"
15883,"R","Graphics","R-core","NEW","---","Setting options(device) to a non-device function segfaults","2014-07-15 15:13:04"
16257,"R","Language","R-core","NEW","---","R 3.1.3 console output when source() used","2015-03-12 22:32:19"
997,"R","Graphics","jitterbug-import","NEW","---","las=1 with log axis ","2001-07-17 15:05:49"
5328,"R","Wishlist","jitterbug-import","NEW","---","wishlist item: symbols() to accept asp argument?","2003-11-26 23:22:43"
8275,"R","Analyses","jitterbug-import","NEW","---","Bugs/issues with model.tables()","2005-11-02 12:43:22"
15885,"R","Low-level","R-core","NEW","---","encodeString segfaults with long character strings","2014-07-16 15:21:27"
1241,"R","Language","jitterbug-import","NEW","---","Problem with ""missing"" in ""local"" ","2002-01-04 20:37:28"
