"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
16034,"R","Wishlist","R-core","NEW","---","wish: use iterative unserialization for pairlists","2015-04-21 06:11:35"
16716,"R","Language","R-core","ASSIGNED","---","tar does not add any files to compressed directory","2016-03-04 11:00:24"
16651,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","chooseCRANmirror() causes cryptnet.dll error","2016-01-04 17:46:19"
16629,"R","S4methods","R-core","NEW","---","Infinite recursion when S4 object has S3 superclass and a slot of type call","2015-12-15 13:30:35"
14730,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","tcltk window freezes when interrupting calculations/locator function","2013-08-05 10:06:14"
16565,"R","System-specific","R-core","UNCONFIRMED","---","R.dll mistakenly export symbols like printf()","2015-10-15 06:30:32"
16845,"R","Accuracy","R-core","UNCONFIRMED","---","There appears to be an error computing the CDF of a non-central T distributed random variable using the pt() function","2016-04-19 20:37:56"
15018,"R","Mac GUI / Mac specific","simon.urbanek","UNCONFIRMED","---","Resizing Terminal or Application Windows Results in Long Delays While Text is Reformatted","2015-05-26 07:27:46"
16085,"R","Graphics","R-core","NEW","---","stdwidth with SVG or Cairo devices crashes R","2015-09-09 08:50:33"
15189,"R","Mac GUI / Mac specific","simon.urbanek","NEW","---","Copying a Graphics Window Copies All Graphic Elements Rather Than Bitmap","2013-01-30 20:55:58"
15958,"R","Language","michafla","ASSIGNED","---","super assignment <<- fails in call-back functions","2014-09-05 21:15:55"
15782,"R","Windows GUI / Window specific","marco.maier","NEW","---","(semi-)transparent ""grid"" elements disappear in the graphics device upon resizing","2015-05-11 05:40:53"
16232,"R","Windows GUI / Window specific","R-core","NEW","---","R cannot display foreign characters (reading UTF-8 text)","2015-03-03 11:59:44"
16454,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","Problem with simultaneous download using download.file","2015-06-26 01:04:35"
16674,"R","Low-level","R-core","UNCONFIRMED","---","Problem with functions using lapack when there are large objects in memory","2016-01-20 11:38:01"
16515,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","Starting 64-bit R in Windows 7 Fails because calls to ntdll.dll and kernel32.dll both run as 32-bit vs. 64-bit","2015-08-19 01:58:23"
15884,"R","Windows GUI / Window specific","R-core","NEW","---","scan() failed to seperate Chinese Character string with spaces","2014-07-16 04:31:13"
15942,"R","Low-level","R-core","NEW","---","R CMD check --as-cran fails from read-only file system or directory tree","2014-08-20 10:13:15"
7931,"R","Wishlist","jitterbug-import","NEW","---","Wishlist: strwidth allow for rotation of text","2005-06-11 16:01:55"
13870,"R","Windows GUI / Window specific","jitterbug-import","NEW","---","Alt-F4 leaves RGUI  console in wait state when closing some dialog boxes","2009-08-05 02:59:10"
2351,"R","Wishlist","jitterbug-import","NEW","---","Re: [Rd] Bugs in Version 1.6.1  (2002-11-01), Windows Edition(PR#2350)","2002-12-05 22:21:08"
2461,"R","Wishlist","jitterbug-import","NEW","---","apropos() with partial name","2003-01-16 15:22:23"
7936,"R","Wishlist","jitterbug-import","NEW","---","by should use match.fun","2005-06-14 17:07:58"
13967,"R","Misc","jitterbug-import","NEW","---","warnings handled oddly in functions with browser calls","2009-09-23 23:44:07"
2520,"R","Add-ons","jitterbug-import","NEW","---","Apparent parser problem","2003-02-02 07:53:28"
16819,"R","Language","R-core","UNCONFIRMED","---","parse() does not handle Unicode characters in input","2016-04-13 10:51:33"
7986,"R","Wishlist","jitterbug-import","NEW","---","Graphics: log=""x"" plot","2005-07-04 04:12:39"
2606,"R","Wishlist","jitterbug-import","NEW","---","modifying ftable to allow percentages (wishlist)","2003-03-05 23:10:36"
7987,"R","System-specific","jitterbug-import","NEW","---","eigen of a real pd symmetric matrix gives NaNs in $vector","2005-07-04 14:34:47"
16071,"R","Installation","R-core","NEW","---","side-by-side error (code 63) with tk85.dll of R in event viewer","2014-11-14 17:03:25"
4246,"R","Windows GUI / Window specific","jitterbug-import","ASSIGNED","---","creates directory that can't be deleted","2015-04-10 18:57:26"
16568,"R","Add-ons","R-core","UNCONFIRMED","---","rpart (x ~ x) segfaults","2015-10-15 22:50:52"
2859,"R","Add-ons","jitterbug-import","NEW","---","bug and proposed fix in print.trellis 1.7.0","2003-05-14 01:27:05"
7988,"R","System-specific","jitterbug-import","NEW","---","eigen of a real pd symmetric matrix gives NaNs in $vector (R2.1.1 and R2.0.1 Windows)","2005-07-04 14:37:43"
16569,"R","Add-ons","R-core","UNCONFIRMED","---","rpart.residuals are +/- Inf","2015-10-15 22:54:11"
16573,"R","Language","R-core","UNCONFIRMED","---","vector with date objects does not retain class if the vector begins with NA","2015-10-19 20:35:42"
2865,"R","Add-ons","jitterbug-import","NEW","---","bug in y limits in bwplot","2003-05-14 02:50:29"
7989,"R","System-specific","jitterbug-import","NEW","---","Re: [Rd] eigen of a real pd symmetric matrix gives NaNs in $vector(PR#7987)","2005-07-04 15:50:47"
15463,"R","Mac GUI / Mac specific","simon.urbanek","ASSIGNED","---","R.app' data editor rounds some data in a data frame","2014-05-02 14:28:38"
16584,"R","Windows GUI / Window specific","R-core","UNCONFIRMED","---","scan() may add ""\n"" to UTF-8 string in some locale settings on Windows","2015-10-28 12:59:15"
3325,"R","Analyses","jitterbug-import","NEW","---","optim with constraints ","2014-09-07 09:53:29"
8041,"R","System-specific","jitterbug-import","NEW","---","eigen gives NaN in $vectors","2005-07-31 07:15:49"
15248,"R","Add-ons","R-core","NEW","---","Attached dBase file not loaded correctly by read.dbf()","2013-03-28 10:40:36"
